designation,comapany,employeecount,followers,level,totalapplicants,location,industry
Data or Business Analyst,AKS ProTalent,11-50 employees,"467,260 followers","Full-time
Matches your job preferences, job type is Full-time.",India · 15 minutes ago · Over 100 applicants,India,Human Resources Services 11-50 employees 101 on LinkedIn
PLSQL / Data Analyst (Fulltime) - Remote Work,"TWO95 International, Inc",51-200 employees,"154,662 followers","Full-time
Matches your job preferences, job type is Full-time.",India · 1 week ago · Over 100 applicants,India,Staffing and Recruiting 51-200 employees 154 on LinkedIn
Jr. Data Scientist,Cloud Counselage Pvt. Ltd.,"10,001+ employees","164,872 followers","Full-time
Matches your job preferences, job type is Full-time.",India · 2 months ago · Over 100 applicants,India,"IT Services and IT Consulting 10,001+ employees 491 on LinkedIn"
Data Scientist,Dreamwave AI,2-10 employees,"67,624 followers","Full-time
Matches your job preferences, job type is Full-time.",India · 3 months ago · Over 100 applicants,India,"Technology, Information and Internet 2-10 employees 5 on LinkedIn"
Data Analyst,Ajackus,51-200 employees,"9,025 followers","Full-time
Matches your job preferences, job type is Full-time.",India · 3 days ago · Over 100 applicants,India,IT Services and IT Consulting 51-200 employees 121 on LinkedIn
Python Developers,"Infosoft, Inc.",201-500 employees,"25,757 followers","Full-time
Matches your job preferences, job type is Full-time.",India · 8 hours ago · Over 100 applicants,India,Staffing and Recruiting 201-500 employees 185 on LinkedIn
Python Data Analyst,YO HR Consultancy,11-50 employees,"137,055 followers",Remote,India · 1 month ago · Over 100 applicants,India,Business Consulting and Services 11-50 employees 20 on LinkedIn
Data Analytics Intern,Unified Mentor,51-200 employees,"42,052 followers",Internship,India · 3 hours ago · 6 applicants,India,E-Learning Providers 51-200 employees 322 on LinkedIn
Python Developer,Soul AI,11-50 employees,"8,091 followers",Part-time,India · 1 day ago · Over 100 applicants,India,Software Development 11-50 employees 177 on LinkedIn
Remote Data Science Analyst (Python),Turing,"501-1,000 employees","357,759 followers","Full-time
Matches your job preferences, job type is Full-time.",India · Reposted 3 days ago · Over 100 applicants,India,"IT Services and IT Consulting 501-1,000 employees 2,056 on LinkedIn"
SQL Mentor,MyCaptain,51-200 employees,"57,552 followers",Remote,India · 3 months ago · Over 100 applicants,India,"E-Learning Providers 51-200 employees 1,140 on LinkedIn"
Data and Analytics Support Engineer,Norstella,"1,001-5,000 employees","34,556 followers","Full-time
Matches your job preferences, job type is Full-time.",India · 2 days ago · Over 100 applicants,India,"Information Services 1,001-5,000 employees 407 on LinkedIn"
Junior Database Administrator (Fresher),ConsultBae Jobs,51-200 employees,"85,402 followers","Full-time
Matches your job preferences, job type is Full-time.",India · 6 days ago · Over 100 applicants,India,IT Services and IT Consulting 51-200 employees 71 on LinkedIn
Analyst,Wishup.co,201-500 employees,"95,559 followers","Full-time
Matches your job preferences, job type is Full-time.",India · 4 hours ago · 21 applicants,India,Business Consulting and Services 201-500 employees 327 on LinkedIn
Data Analyst,Ipseity Group,11-50 employees,663 followers,"Full-time
Matches your job preferences, job type is Full-time.","Bhopal, Madhya Pradesh, India · 1 month ago · Over 100 applicants","Bhopal, Madhya Pradesh, India",Information Technology & Services 11-50 employees 55 on LinkedIn
Data Analytics Intern,Unified Mentor,51-200 employees,"42,052 followers",Internship,India · 3 hours ago · 24 applicants,India,E-Learning Providers 51-200 employees 322 on LinkedIn
